v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46	v47	v48	v49	v50	v51	v52	v53	v54	v55	v56	v57	v58	v59	v60	v61	v62	v63	v64	v65	v66	v67	v68	v69	v70	v71	v72	v73	v74	v75	v76	v77	v78	v79	v80	v81	v82	v83	v84	v85	v86	v87	v88	v89	v90	v91	v92	v93	v94	v95	v96	v97	v98	v99	v100	v101	v102	v103	v104	v105	v106	v107	v108	v109	v110	v111	v112	v113	v114	v115	v116	v117	v118	v119	v120	v121	v122	v123	v124	v125	v126	v127	v128	v129	v130	v131	v132	v133	v134	v135	v136	v137	v138	v139	v140	v141	v142	v143	v144	v145
DEU	2760000	DEU9797	1	27600	2	30	1	1	2	4	5	1	2	2	7	2	1	1	7	9	3	2	1	3	1	3	1	2	1	2	2	2	2	2	2	2	1	2	2	2	4	3	2	2	1	1	2	2	4	2	3	5	5	5	3	3	1	1	1	1	2	1	1	1	2	2	2	1	1	7	2	2	1	2	2	2	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3111	1321	9705	-0.1254	-0.3004	65.42	55.03	1	1	27600	27600	27600	27600	27600	27600	3	1	3	65.42	1	1	148	148	0.0485	0.7791	3	99.00	0.3309	.31110001	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	31	1	2	2	4	4	1	2	2	7	1	2	2	7	9	1	2	1	3	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	4	3	4	1	1	1	2	1	4	3	4	4	5	5	3	4	2	3	1	1	2	1	1	1	1	2	2	1	1	7	2	2	1	2	2	1	9	1	1	1	1	1	9998	4	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2341	1223	2100	-0.6314	0.1650	81.92	76.49	1	1	27600	999999	27600	27600	27600	27600	6	1	1	81.92	1	9	148	148	0.4708	0.7791	1	79.49	0.3309	.3364	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	32	1	2	2	4	4	1	9	9	7	1	1	1	7	6	4	2	4	3	3	4	3	3	1	2	2	2	2	2	2	2	1	2	2	3	1	2	3	3	3	1	1	1	4	3	3	5	5	5	5	1	2	4	2	2	2	1	1	1	2	2	2	1	1	7	1	1	1	2	2	2	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2165	2152	1346	-0.1254	0.3180	80.75	72.96	1	1	27600	27600	27600	27600	27600	27600	3	1	3	80.75	1	1	148	148	0.0485	0.1017	3	65.01	-20.052	.31110001	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	33	1	2	2	4	3	2	2	2	7	2	1	2	7	2	4	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	1	1	1	3	3	4	4	4	4	5	5	1	3	1	2	3	3	2	2	2	2	2	2	2	1	1	7	2	2	1	2	2	1	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3256	5153	2642	-0.6314	-0.6372	21.82	44.92	1	1	27600	27600	27600	27600	27600	27600	6	0	2	44.92	1	1	148	148	-12.159	-12.776	2	72.83	-0.0994	.3364	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	35	1	2	2	4	4	1	2	2	7	2	2	2	7	9	3	1	2	2	1	1	1	2	1	2	2	2	2	2	2	1	1	2	2	3	4	4	3	2	1	2	2	2	4	4	4	9	9	9	9	9	9	9	9	9	9	9	2	2	2	2	2	1	1	7	2	1	1	2	2	1	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4120	2100	9999	0.3150	99.990.000	79.49	44.94	1	1	27600	27600	27600	27600	27600	27600	6	1	1	79.49	1	1	148	148	-12.159	99.990.000	0	99.00	11.275	.3452	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	36	1	2	2	4	4	1	9	9	7	1	9	9	7	5	1	1	1	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	1	3	1	3	1	4	2	4	4	5	5	4	4	1	3	2	2	2	2	1	1	1	2	2	1	1	7	2	2	1	2	2	1	1	1	2	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9704	2111	9704	-0.6314	0.1650	84.61	99.00	1	1	27600	27600	68800	27600	27600	27600	6	1	1	84.61	1	1	148	148	0.4708	-0.4255	1	99.00	17.172	.31110001	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	38	1	2	2	4	4	1	2	2	7	1	2	2	7	6	4	2	1	2	1	2	1	1	2	2	2	9	2	2	2	2	2	2	2	1	3	3	3	1	1	1	1	1	3	3	4	4	5	5	3	4	2	3	2	2	2	2	1	1	2	2	2	1	1	7	2	2	1	2	2	1	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2411	2500	9999	-14.702	0.1650	75.13	76.65	1	1	27600	27600	27600	27600	27600	27600	6	1	1	76.65	1	1	148	148	0.0485	-0.4255	1	99.00	11.275	.31110001	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	40	2	1	2	4	4	2	1	1	7	9	9	1	7	3	4	1	1	2	1	2	2	1	1	1	2	2	2	2	2	2	1	1	2	2	2	4	3	3	2	1	2	9	4	3	4	5	5	5	9	4	2	4	2	2	2	1	2	1	9	2	2	1	1	7	2	2	1	2	2	2	2	2	2	2	2	2	23	29	0	0	0	0	0	0	0	0	0	61600	0	0	0	0	0	0	0	0	0	0	0	0	61600	0	0	0	2	2	8152	6113	9999	0.7501	0.4859	20.91	18. Mrz	3	3	61600	61600	61600	61600	61600	61600	3	3	3	20.91	3	3	273	273	-0.1859	0.1017	3	99.00	11.275	.31110001	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	41	1	2	2	5	5	2	2	2	7	2	2	2	7	9	3	1	1	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	2	3	3	4	3	2	3	1	3	3	4	4	4	4	5	5	1	4	3	9	2	1	2	1	1	1	1	9	2	1	1	7	2	2	2	2	2	1	1	1	1	1	1	1	9998	9998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3333	7421	9999	-0.1254	-0.0047	43.76	60.44	9	9	27600	27600	27600	27600	27600	27600	6	0	0	60.44	1	1	148	148	0.6662	0.4396	0	99.00	11.275	.31110001	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	42	1	2	2	5	4	1	9	9	7	1	9	1	7	6	3	3	1	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	9	1	2	3	2	1	1	1	1	1	2	2	3	4	5	5	1	4	2	3	3	8	1	2	1	2	2	2	2	1	1	7	2	2	1	2	2	1	1	1	1	1	2	2	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2161	2161	9704	-14.796	-0.1412	79.74	79.74	1	1	27600	27600	27600	27600	927600	927600	6	1	3	79.74	2	1	148	148	-0.4243	-0.5511	3	99.00	-0.0994	.3452	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	43	1	1	2	5	3	2	2	1	7	2	2	1	7	6	3	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	4	3	3	2	2	1	2	2	4	3	4	5	5	5	2	4	2	2	2	2	2	1	2	2	2	2	2	1	1	7	2	1	1	1	1	1	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4120	2522	9999	-0.6314	0.0131	75.13	44.94	1	1	27600	27600	27600	27600	27600	27600	6	3	3	75.13	1	1	148	148	-12.159	0.1017	3	99.00	0.3309	.31110001	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	44	1	2	2	3	3	2	2	2	7	2	2	1	7	5	4	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	1	4	3	1	1	1	1	1	1	3	2	3	4	5	5	1	3	2	2	3	3	2	3	2	2	2	2	2	1	1	7	2	2	1	2	2	2	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4110	5412	2210	-14.809	-0.4659	51.50	43.33	1	1	27600	27600	27600	27600	27600	27600	3	0	3	51.50	1	1	148	148	-12.159	-15.646	3	88.70	-0.8397	.3452	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	45	2	2	2	9	5	9	9	9	7	2	1	2	7	5	4	2	1	2	1	3	3	2	1	2	2	2	2	2	2	2	2	2	2	3	1	3	3	1	1	1	1	1	4	4	3	4	5	5	2	3	2	2	2	2	3	2	2	2	2	2	2	9	2	7	2	1	1	1	2	1	1	2	2	9	2	2	1	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38000	0	0	0	0	0	0	0	0	0	0	1	9	3221	9999	2166	-0.6314	-0.3004	99.00	56.00	3	1	38000	27600	927600	999999	38000	38000	6	9	2	56.00	3	2	999	148	-12.159	-0.9553	2	79.74	-0.0994	.31110001	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	46	1	2	2	5	4	1	9	9	7	1	9	1	7	6	1	3	2	2	3	3	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	3	2	1	1	2	1	1	3	2	3	4	5	4	3	3	2	2	1	1	1	1	1	1	2	2	2	1	1	7	1	2	1	2	2	2	1	1	1	1	1	1	9998	9998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4323	2100	9704	-0.6314	-0.3004	79.49	41.27	9	9	27600	27600	27600	27600	27600	27600	3	1	3	79.49	1	1	148	148	0.0485	12.956	3	99.00	-10.793	.31110001	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	47	1	2	2	4	3	2	1	2	7	2	2	1	7	4	1	3	2	3	2	4	4	3	1	2	2	2	2	2	2	2	2	2	2	3	4	3	3	1	1	3	2	1	3	3	4	5	5	5	1	3	2	2	2	2	1	2	1	9	2	9	2	1	2	7	2	2	2	1	2	2	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4312	7231	9999	-0.6314	-0.3004	30.78	57.38	1	1	27600	27600	27600	27600	27600	27600	4	2	3	57.38	1	1	148	148	-0.1727	0.1017	3	99.00	-18.317	.31110001	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	48	2	1	2	3	3	1	2	2	7	2	1	2	7	6	3	3	2	4	2	4	2	3	1	2	2	2	2	1	2	2	2	2	2	3	4	2	3	1	1	1	2	1	2	2	4	3	5	5	1	1	2	4	1	2	2	1	1	1	1	2	2	1	1	7	2	2	1	2	2	1	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5311	2100	2142	-0.1254	-0.6372	79.49	24.98	1	1	27600	27600	27600	27600	27600	27600	6	1	2	79.49	1	1	148	148	0.4708	0.4396	2	81.40	-16.570	.3364	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	49	1	1	2	4	3	1	2	2	7	2	1	2	7	6	1	2	2	2	2	3	2	2	1	2	2	2	2	2	2	2	1	2	2	1	3	3	3	1	1	1	1	1	3	3	4	3	5	5	1	3	2	3	1	1	1	1	1	1	1	2	2	1	1	7	2	2	1	2	2	1	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3221	2153	9999	-0.1254	-0.4659	80.75	56.00	1	1	27600	27600	27600	27600	27600	27600	6	1	2	80.75	1	1	148	148	0.4708	12.956	2	99.00	-0.5360	.31110001	28	NOV	13
DEU	2760000	DEU9797	1	27600	3	50	1	2	2	5	4	9	9	1	7	9	1	9	7	4	5	1	1	2	1	1	1	1	1	2	2	1	2	2	2	1	1	2	2	3	2	3	4	1	2	2	1	1	4	4	4	5	5	5	2	3	2	3	1	2	2	1	2	2	2	2	2	1	1	7	2	2	1	2	2	1	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	9	9	3211	7233	9705	0.7501	0.0131	31.72	57.04	1	1	27600	27600	27600	27600	27600	27600	6	3	3	57.04	1	1	999	999	-12.159	0.4396	2	99.00	17.172	.48789999	28	NOV	13
DEU	2760000	DEU9797	1	27600	3	51	1	2	2	4	4	2	2	1	7	1	2	2	7	9	5	2	2	2	2	3	4	2	1	2	2	2	2	2	2	1	1	2	2	1	2	3	2	2	2	2	1	1	4	3	4	5	5	5	3	3	2	3	1	1	2	1	1	1	2	2	2	1	1	7	2	2	1	1	2	1	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2300	3323	1431	0.3150	0.1650	56.35	75.54	1	1	27600	27600	27600	27600	27600	27600	6	3	3	75.54	1	1	148	148	0.0485	0.7791	1	51.01	-10.793	.45649999	28	NOV	13
DEU	2760000	DEU9797	1	27600	3	52	1	2	2	5	5	1	2	2	7	2	1	2	7	4	5	2	2	9	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	1	2	2	3	2	2	2	4	4	5	4	4	3	3	1	2	2	2	2	2	2	2	2	1	1	7	2	2	1	2	2	1	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3221	2330	2210	-14.809	0.3180	82.41	56.00	1	1	27600	27600	27600	27600	27600	27600	6	1	2	82.41	1	1	818	818	-12.159	0.1017	2	88.70	-0.9086	.45649999	28	NOV	13
DEU	2760000	DEU9797	1	27600	3	53	1	2	2	2	2	2	1	2	7	1	2	2	7	4	3	2	1	2	1	2	2	2	1	1	2	2	2	2	2	2	1	2	2	1	1	2	3	1	1	1	4	3	3	1	1	3	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	7	1	1	1	2	2	2	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2652	5311	9999	0.3150	-0.6372	24.98	64.44	1	1	27600	27600	27600	27600	27600	27600	3	2	2	64.44	1	1	148	148	-12.159	-0.4255	1	99.00	0.6338	.48789999	28	NOV	13
DEU	2760000	DEU9797	1	27600	3	55	1	2	2	4	3	1	9	9	7	9	1	1	7	5	5	2	1	2	2	2	1	2	1	1	2	1	2	2	2	1	1	1	2	1	3	4	3	3	2	3	3	1	4	3	4	4	5	5	4	5	2	4	2	1	2	1	1	2	2	2	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2354	2512	2264	15.557	0.6460	74.66	68.88	1	1	27600	27600	27600	27600	27600	27600	6	1	3	74.66	1	1	148	148	-0.4243	0.4396	3	67.94	0.6338	.45649999	28	NOV	13
DEU	2760000	DEU9797	1	27600	3	56	1	2	2	5	3	1	2	2	7	2	2	2	7	6	3	1	1	1	2	2	2	2	1	1	2	2	2	1	2	1	1	1	2	3	3	4	4	4	2	4	2	2	3	3	4	4	5	5	3	4	2	4	1	1	2	1	1	1	1	2	2	1	1	7	2	2	1	2	2	1	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3240	2250	2200	15.557	0.3180	84.14	24.79	1	1	27600	27600	27600	27600	27600	27600	6	1	1	84.14	1	1	148	148	0.4708	0.7791	0	76.98	0.8861	.45649999	28	NOV	13
DEU	2760000	DEU9797	1	27600	3	57	1	2	2	4	3	2	2	2	7	1	2	2	7	5	1	2	2	2	2	2	3	2	1	1	2	2	2	2	2	1	2	2	2	3	2	3	2	2	4	2	2	1	4	3	3	4	5	5	3	4	2	2	2	2	2	2	2	2	2	2	2	1	1	7	2	2	1	2	2	1	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	8	8	4000	7231	9704	0.3150	0.0131	30.78	43.51	1	1	27600	27600	27600	27600	27600	27600	6	0	1	43.51	1	1	998	998	-12.159	-0.4255	1	99.00	-0.5360	.4826	28	NOV	13
DEU	2760000	DEU9797	1	27600	3	59	1	2	2	4	4	2	2	1	7	2	1	1	7	3	1	1	1	2	2	2	1	1	1	2	2	2	2	2	2	2	1	2	2	3	2	3	3	2	1	1	1	1	3	3	3	5	5	5	4	5	3	5	2	2	2	2	2	2	2	2	2	1	1	7	2	2	1	2	2	2	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3221	7114	2634	-0.1254	13.249	21.96	56.00	1	1	27600	27600	27600	27600	27600	27600	3	3	3	56.00	1	1	148	148	-12.159	-0.4255	3	85.85	11.275	.48789999	28	NOV	13
DEU	2760000	DEU9797	1	27600	3	60	1	2	2	3	4	1	2	2	7	2	2	1	7	9	2	1	1	1	1	1	3	9	2	2	1	1	2	2	2	2	1	2	2	1	4	3	3	3	9	1	2	2	3	3	3	2	5	5	2	2	2	1	1	1	1	1	1	1	2	2	2	1	1	7	1	2	1	2	2	2	1	1	1	1	1	1	9998	9998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3251	2161	2250	0.3150	-0.9916	79.74	47.83	9	9	27600	27600	27600	27600	27600	27600	3	1	3	79.74	1	1	818	818	0.0485	12.956	3	84.14	13.146	.48789999	28	NOV	13
DEU	2760000	DEU9797	1	27600	3	61	1	2	2	5	5	1	2	1	7	2	1	2	7	3	5	2	2	2	2	2	3	2	1	2	2	2	2	2	2	2	1	2	2	3	3	4	3	2	1	4	3	2	4	4	4	4	4	4	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	7	2	2	1	2	2	1	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3255	2300	2643	-0.1254	-0.8130	75.54	53.15	1	1	27600	27600	27600	27600	27600	27600	6	3	3	75.54	1	1	148	148	-0.4243	0.1017	2	80.92	-0.5360	.48789999	28	NOV	13
DEU	2760000	DEU9797	1	27600	3	62	1	2	2	4	4	1	2	2	7	9	1	9	7	4	5	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	1	2	2	3	2	3	4	1	1	1	1	1	4	2	3	4	5	5	3	4	2	4	2	1	2	1	2	2	2	2	2	1	1	7	2	2	1	2	2	2	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3221	4110	2642	-0.6314	0.3180	43.33	56.00	1	1	27600	27600	27600	27600	27600	27600	3	1	2	56.00	1	1	148	148	-12.159	0.4396	2	72.83	-0.0994	.45649999	28	NOV	13
